username,level,arena_points
Santy Botero,30,45
Felipe Vera,12,21
DESASTRE +52,17,13
Chong_._,25,10
💜😳Elliot femboy😳💜,3,6
Dlanor_23,9,5
Leo🧟‍♂️,7,5
sebxs.!?,1,5
Mayeyo Kamello🐫,14,4
Abraham meloyo 😈👻,7,4
Breiner,2,4
Zhai,1,4
tiburon,11,3
IlPinnone,7,3
Alejandro,5,3
_Kano_💯🔥,5,3
jannielsubero,4,3
Keiner Sanchez👾,2,3
Yisus,2,3
Abdeel Martinez,1,3
Mcpapigamer,1,3
Historias  de Roblox,1,3
Urixl_19🎭👾,4,2
Navarro72000,4,2
yio,4,2
...........,4,2
SNOOPY,1,2
Jaco,1,2
soy alejo,1,2
TicoMxdd,6,1
Emanuel,5,1
noe,4,1
juanso,4,1
Samir Chaviel,4,1
Notta Baker,2,1
☬𓂀 🌪️𝙲🍓𝚙𝚙𝚎𝚕🦉🖤𓂀☬,2,1
Vexium,2,1
Bauti,1,1
Melissa Benavides,1,1
Nicolas Loaiza Cardo,1,1
💸🌑Dark_N🌑💸,1,1
Davisho,1,1
💚olix_crack🖤,1,1
doramichi,1,1
Juan Pablo,1,1
Iker  flores 1212,1,1
Rizn,1,1
Omar,1,1
S_Draco team 549,1,1
calisto,1,1
...,1,1
123968,0,1
752851,0,1
JonasTok,0,1
°†° «[𝐆𝐚𝐛𝐫𝐢𝐞𝐥]» °†°,0,1
andony,0,1
Edgarin pirlin pin pin,0,1
tú papa,0,1
Erick🖤wr🖤,0,1
Marcos Toledo,0,1
D꙰I꙰E꙰G꙰O꙰,0,1
Pixel Ray,0,1
Derek Iván Fabela virrey,0,1
Eliud Flores,0,1
𝒢𝒶𝒷𝑜,0,1
el pro player,0,1
M-ALEJANDRO.L.N.,0,1
[ک-Ћ-Ǻ-D-Ø-],23,0
️,13,0
Sebastian Rodríguez,11,0
☠️  J  KARMA  🦂,11,0
URBINA,10,0
PendejilloCES,10,0
jsm,9,0
elo,9,0
beto2938,9,0
Roberto JF,8,0
T_TOrtega,8,0
Marlon Rico 😎💥,7,0
Rush 🪷,7,0
CNASA YUSAKI,7,0
Zaquiel🪽,7,0
saturnrpks,6,0
Dylan,6,0
Ssoto25,6,0
️,6,0
A01,6,0
🗿Abrahamfloresfan•teamnegro⚫️,6,0
CarlosD,6,0
Saitotw,6,0
Andre G,5,0
Neongumer,5,0
davisss,5,0
Feerlook 🔥,5,0
𝒀𝒂𝒎𝒆𝒏,5,0
Sebastian Montenegro,5,0
nsp000.0,5,0
sebaslondono_,5,0
F Miguel C 🇲🇽,5,0
DEMENTEGMR,5,0
Y O R D I N 🧃,5,0
Nelson Lamas🍑🍭,5,0
Rosa mela no🫓🕯️,5,0
tone👽💓:>,5,0
Leonidas,5,0
estimado,5,0
MTenorio,5,0
trades de brainrots,5,0
Juan Cepeda,5,0
sus_09,4,0
Henrry,4,0
𝕭𝖑𝖆𝖈𝖐𝖍𝖊𝖆𝖗𝖙,4,0
Jeremy_F10,4,0
Lucho portuano😎,4,0
Skiz09,4,0
Dilan 💋🎧,4,0
Aironman5,4,0
moster,4,0
andrewww565,4,0
juancandora34,4,0
xXMrflamencoXx,4,0
Ale,4,0
angellmvz,4,0
sam99,4,0
🪢Brayan S.🐰,4,0
Soy MUGGS,4,0
🇦🇷🐈‍⬛𓆰𝕰𝖑𝕯𝖗𝖆𝖐𝖔𝖓𓆪🖤,4,0
️,4,0
TCessaroT,4,0
Yender.🍁,4,0
🥷🍓 Ivan fan de meiis 🍓🥷,4,0
R7_Jésus⁸⁸⁸,4,0
Juan Diego,3,0
Keenyiii,3,0
Alee DP,3,0
Alejandro Camacho,3,0
Giovany Torres,3,0
Gaviria,3,0
JV,3,0
leiruzx,3,0
GT 🇬🇹🥰,3,0
Piero,3,0
Jordan P,3,0
Javier2353 l,3,0
FLAKO 😎,3,0
Olaf GJ,3,0
LUXOR_dp,3,0
Nayibe Medina,3,0
Nicoooh,3,0
fabian6922🌷,3,0
Oz-501,3,0
Camus,3,0
Davide8098,3,0
joelsoler802,3,0
José Ernesto Padilla,3,0
Cristian Muñoz,3,0
jesus_iz,3,0
meerkuryoLDCR,3,0
Ram (Faraón) 🇨🇷,3,0
₹DINO_AL3JO₱,3,0
michigan_86,3,0
Isaac Camarillo25,3,0
santiago Hilgemann,3,0
Ernesto🦦,3,0
M3mo,3,0
ProyectoMartinez,3,0
KASH,3,0
TheZay,3,0
Jesus~,3,0
Vinyer18,3,0
zeref783,3,0
alvaro,3,0
DANY🦍🧸,3,0
Yahircin:p,3,0
milogra1234,3,0
EL TIO FACU,3,0
juradoabimichelle 2,3,0
callmezac.k,3,0
Juanchi🤍,3,0
🐉Brauu🐉,3,0
leo y max,3,0
x zᴇʀᴏꪎ ⸙,3,0
calibiomacro,3,0
Jitler😈,3,0
pilotosamu,3,0
el mrbruno el más bueno,3,0
Omar.rene,3,0
𖤓 tomas ☪︎,3,0
Frank Rodríguez,3,0
monooaxaco,3,0
Pablo_Benja7,3,0
❤️😎ZX_NICOLAS🐇🌸🏡,3,0
Anthony Caceres,2,0
